__time,/fmu/in/landing_target_pose/abs_pos_valid,/fmu/in/landing_target_pose/cov_vx_rel,/fmu/in/landing_target_pose/cov_vy_rel,/fmu/in/landing_target_pose/cov_x_rel,/fmu/in/landing_target_pose/cov_y_rel,/fmu/in/landing_target_pose/is_static,/fmu/in/landing_target_pose/rel_pos_valid,/fmu/in/landing_target_pose/rel_vel_valid,/fmu/in/landing_target_pose/timestamp,/fmu/in/landing_target_pose/vx_rel,/fmu/in/landing_target_pose/vy_rel,/fmu/in/landing_target_pose/x_abs,/fmu/in/landing_target_pose/x_rel,/fmu/in/landing_target_pose/y_abs,/fmu/in/landing_target_pose/y_rel,/fmu/in/landing_target_pose/z_abs,/fmu/in/landing_target_pose/z_rel
1781337284.180642,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,1781337284180238.000000000,0.000000000,0.000000000,0.000000000,0.001227864,0.000000000,0.015961653,0.000000000,0.312202513
1781337284.208255,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,1781337284207757.000000000,0.000000000,0.000000000,0.000000000,0.000874493,0.000000000,0.016633512,0.000000000,0.312172055
1781337284.234194,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,1781337284233803.000000000,0.000000000,0.000000000,0.000000000,-0.000130936,0.000000000,0.015869435,0.000000000,0.311802298
1781337284.260506,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,1781337284259964.000000000,0.000000000,0.000000000,0.000000000,-0.000247409,0.000000000,0.015662406,0.000000000,0.311750472
1781337284.290805,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,1781337284290342.000000000,0.000000000,0.000000000,0.000000000,-0.001658447,0.000000000,0.016437728,0.000000000,0.312522858
1781337284.319282,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,1781337284318662.000000000,0.000000000,0.000000000,0.000000000,-0.001630139,0.000000000,0.016847212,0.000000000,0.313051552
1781337284.346006,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,1781337284345620.000000000,0.000000000,0.000000000,0.000000000,-0.002210904,0.000000000,0.016535489,0.000000000,0.312379181
1781337284.375102,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,1781337284374648.000000000,0.000000000,0.000000000,0.000000000,-0.001795945,0.000000000,0.016892420,0.000000000,0.312813669
1781337284.401445,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,1781337284401038.000000000,0.000000000,0.000000000,0.000000000,-0.001630139,0.000000000,0.016847212,0.000000000,0.313051552
1781337284.461663,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,1781337284461195.000000000,0.000000000,0.000000000,0.000000000,-0.001630139,0.000000000,0.016847212,0.000000000,0.313051552
